,duration,stim_type
0,2.0,line
1,1.7,NULL
2,2.0,circle
3,1.9,NULL
4,2.0,line
5,1.2,NULL
6,2.0,square
7,1.7,NULL
8,2.0,circle
9,1.8,NULL
10,2.0,square
11,1.9,NULL
12,2.0,square
13,1.0,NULL
14,2.0,square
15,1.8,NULL
16,2.0,triangle
17,1.1,NULL
18,2.0,circle
19,1.1,NULL
20,2.0,triangle
21,1.5,NULL
22,2.0,triangle
23,2.0,NULL
24,2.0,circle
25,1.9,NULL
26,2.0,triangle
27,1.0,NULL
28,2.0,line
29,1.4,NULL
30,2.0,square
31,1.2,NULL
32,2.0,circle
33,1.1,NULL
34,2.0,line
35,1.4,NULL
36,2.0,triangle
37,1.6,NULL
38,2.0,line
39,1.5,NULL
