,duration,stim_type
0,2.0,circle
1,1.9,NULL
2,2.0,line
3,1.8,NULL
4,2.0,triangle
5,2.0,NULL
6,2.0,circle
7,1.0,NULL
8,2.0,circle
9,1.0,NULL
10,2.0,triangle
11,1.9,NULL
12,2.0,line
13,1.5,NULL
14,2.0,triangle
15,1.5,NULL
16,2.0,circle
17,2.0,NULL
18,2.0,square
19,1.7,NULL
20,2.0,triangle
21,1.6,NULL
22,2.0,line
23,1.1,NULL
24,2.0,line
25,1.8,NULL
26,2.0,triangle
27,1.8,NULL
28,2.0,square
29,1.6,NULL
30,2.0,square
31,1.1,NULL
32,2.0,circle
33,1.6,NULL
34,2.0,square
35,1.2,NULL
36,2.0,square
37,1.7,NULL
38,2.0,line
39,1.3,NULL
