,duration,stim_type
0,2.0,line
1,1.3,NULL
2,2.0,square
3,1.4,NULL
4,2.0,circle
5,1.7,NULL
6,2.0,triangle
7,2.0,NULL
8,2.0,square
9,1.4,NULL
10,2.0,line
11,1.7,NULL
12,2.0,triangle
13,1.6,NULL
14,2.0,square
15,1.1,NULL
16,2.0,line
17,1.2,NULL
18,2.0,triangle
19,1.1,NULL
20,2.0,circle
21,1.1,NULL
22,2.0,triangle
23,1.6,NULL
24,2.0,line
25,1.8,NULL
26,2.0,circle
27,1.7,NULL
28,2.0,square
29,1.8,NULL
30,2.0,circle
31,1.6,NULL
32,2.0,square
33,1.8,NULL
34,2.0,circle
35,1.3,NULL
36,2.0,line
37,1.8,NULL
38,2.0,triangle
39,1.5,NULL
