,duration,stim_type
0,2.0,triangle
1,1.9,NULL
2,2.0,triangle
3,2.0,NULL
4,2.0,circle
5,2.0,NULL
6,2.0,triangle
7,1.7,NULL
8,2.0,circle
9,1.2,NULL
10,2.0,square
11,1.4,NULL
12,2.0,circle
13,1.3,NULL
14,2.0,line
15,1.4,NULL
16,2.0,circle
17,1.4,NULL
18,2.0,square
19,1.9,NULL
20,2.0,square
21,1.8,NULL
22,2.0,square
23,1.6,NULL
24,2.0,triangle
25,1.0,NULL
26,2.0,circle
27,1.4,NULL
28,2.0,triangle
29,1.5,NULL
30,2.0,line
31,1.0,NULL
32,2.0,line
33,1.2,NULL
34,2.0,square
35,1.2,NULL
36,2.0,line
37,1.5,NULL
38,2.0,line
39,1.3,NULL
