,duration,stim_type
0,2.0,triangle
1,1.7,NULL
2,2.0,line
3,1.4,NULL
4,2.0,line
5,1.5,NULL
6,2.0,line
7,1.0,NULL
8,2.0,square
9,1.8,NULL
10,2.0,triangle
11,1.8,NULL
12,2.0,square
13,1.9,NULL
14,2.0,circle
15,2.0,NULL
16,2.0,circle
17,1.3,NULL
18,2.0,triangle
19,1.9,NULL
20,2.0,triangle
21,1.7,NULL
22,2.0,square
23,1.6,NULL
24,2.0,line
25,1.1,NULL
26,2.0,circle
27,1.9,NULL
28,2.0,circle
29,1.6,NULL
30,2.0,circle
31,1.2,NULL
32,2.0,square
33,1.4,NULL
34,2.0,line
35,1.1,NULL
36,2.0,square
37,1.9,NULL
38,2.0,triangle
39,2.0,NULL
