,duration,stim_type
0,2.0,line
1,1.3,NULL
2,2.0,square
3,1.5,NULL
4,2.0,triangle
5,1.5,NULL
6,2.0,line
7,1.8,NULL
8,2.0,circle
9,1.3,NULL
10,2.0,square
11,1.5,NULL
12,2.0,line
13,1.6,NULL
14,2.0,line
15,1.7,NULL
16,2.0,triangle
17,1.8,NULL
18,2.0,square
19,1.4,NULL
20,2.0,circle
21,1.8,NULL
22,2.0,triangle
23,1.7,NULL
24,2.0,square
25,2.0,NULL
26,2.0,triangle
27,1.4,NULL
28,2.0,circle
29,1.1,NULL
30,2.0,line
31,1.4,NULL
32,2.0,circle
33,1.3,NULL
34,2.0,triangle
35,1.4,NULL
36,2.0,circle
37,1.4,NULL
38,2.0,square
39,1.5,NULL
