,duration,stim_type
0,2.0,circle
1,2.0,NULL
2,2.0,triangle
3,1.8,NULL
4,2.0,circle
5,1.4,NULL
6,2.0,square
7,1.8,NULL
8,2.0,triangle
9,1.1,NULL
10,2.0,triangle
11,1.5,NULL
12,2.0,circle
13,1.0,NULL
14,2.0,line
15,2.0,NULL
16,2.0,triangle
17,1.9,NULL
18,2.0,line
19,1.7,NULL
20,2.0,square
21,1.7,NULL
22,2.0,line
23,1.2,NULL
24,2.0,line
25,1.3,NULL
26,2.0,circle
27,1.4,NULL
28,2.0,circle
29,1.2,NULL
30,2.0,line
31,1.1,NULL
32,2.0,square
33,1.1,NULL
34,2.0,triangle
35,1.6,NULL
36,2.0,square
37,1.9,NULL
38,2.0,square
39,1.1,NULL
