,duration,stim_type
0,2.0,line
1,2.0,NULL
2,2.0,circle
3,1.6,NULL
4,2.0,line
5,1.3,NULL
6,2.0,triangle
7,1.9,NULL
8,2.0,triangle
9,1.1,NULL
10,2.0,square
11,1.2,NULL
12,2.0,line
13,1.1,NULL
14,2.0,square
15,1.6,NULL
16,2.0,line
17,1.8,NULL
18,2.0,triangle
19,1.5,NULL
20,2.0,triangle
21,1.2,NULL
22,2.0,square
23,1.6,NULL
24,2.0,line
25,1.7,NULL
26,2.0,circle
27,1.6,NULL
28,2.0,square
29,1.3,NULL
30,2.0,square
31,1.8,NULL
32,2.0,circle
33,1.2,NULL
34,2.0,circle
35,1.2,NULL
36,2.0,triangle
37,1.1,NULL
38,2.0,circle
39,2.0,NULL
