,duration,stim_type
0,2.0,line
1,1.1,NULL
2,2.0,circle
3,1.4,NULL
4,2.0,square
5,1.7,NULL
6,2.0,line
7,1.5,NULL
8,2.0,line
9,1.3,NULL
10,2.0,square
11,1.7,NULL
12,2.0,triangle
13,1.3,NULL
14,2.0,square
15,1.8,NULL
16,2.0,circle
17,1.5,NULL
18,2.0,triangle
19,1.0,NULL
20,2.0,triangle
21,2.0,NULL
22,2.0,square
23,1.7,NULL
24,2.0,circle
25,1.5,NULL
26,2.0,triangle
27,1.9,NULL
28,2.0,circle
29,2.0,NULL
30,2.0,square
31,1.3,NULL
32,2.0,line
33,1.4,NULL
34,2.0,circle
35,1.6,NULL
36,2.0,line
37,1.1,NULL
38,2.0,triangle
39,2.0,NULL
