,duration,stim_type
0,2.0,square
1,1.7,NULL
2,2.0,triangle
3,1.9,NULL
4,2.0,circle
5,1.6,NULL
6,2.0,triangle
7,1.5,NULL
8,2.0,square
9,1.5,NULL
10,2.0,line
11,1.1,NULL
12,2.0,triangle
13,1.1,NULL
14,2.0,triangle
15,1.5,NULL
16,2.0,line
17,1.6,NULL
18,2.0,circle
19,1.1,NULL
20,2.0,line
21,1.4,NULL
22,2.0,triangle
23,1.9,NULL
24,2.0,line
25,1.4,NULL
26,2.0,circle
27,1.8,NULL
28,2.0,square
29,1.1,NULL
30,2.0,line
31,1.4,NULL
32,2.0,square
33,1.4,NULL
34,2.0,square
35,1.6,NULL
36,2.0,circle
37,1.7,NULL
38,2.0,circle
39,1.9,NULL
