,duration,stim_type
0,2.0,circle
1,1.9,NULL
2,2.0,line
3,1.4,NULL
4,2.0,square
5,1.1,NULL
6,2.0,circle
7,1.9,NULL
8,2.0,square
9,1.7,NULL
10,2.0,line
11,1.2,NULL
12,2.0,square
13,1.9,NULL
14,2.0,square
15,1.1,NULL
16,2.0,circle
17,1.9,NULL
18,2.0,line
19,1.5,NULL
20,2.0,square
21,1.9,NULL
22,2.0,line
23,1.5,NULL
24,2.0,triangle
25,1.3,NULL
26,2.0,line
27,1.8,NULL
28,2.0,triangle
29,1.2,NULL
30,2.0,triangle
31,1.5,NULL
32,2.0,circle
33,1.9,NULL
34,2.0,circle
35,1.3,NULL
36,2.0,triangle
37,1.6,NULL
38,2.0,triangle
39,1.4,NULL
