,duration,stim_type
0,2.0,circle
1,1.9,NULL
2,2.0,triangle
3,1.3,NULL
4,2.0,line
5,1.2,NULL
6,2.0,square
7,1.4,NULL
8,2.0,circle
9,1.5,NULL
10,2.0,circle
11,1.2,NULL
12,2.0,triangle
13,1.9,NULL
14,2.0,triangle
15,1.1,NULL
16,2.0,circle
17,1.9,NULL
18,2.0,triangle
19,1.3,NULL
20,2.0,line
21,1.6,NULL
22,2.0,triangle
23,1.9,NULL
24,2.0,line
25,1.7,NULL
26,2.0,square
27,1.4,NULL
28,2.0,circle
29,1.9,NULL
30,2.0,square
31,1.4,NULL
32,2.0,line
33,1.2,NULL
34,2.0,line
35,1.8,NULL
36,2.0,square
37,1.4,NULL
38,2.0,square
39,1.7,NULL
