,duration,stim_type
0,2.0,triangle
1,1.5,NULL
2,2.0,line
3,1.5,NULL
4,2.0,square
5,1.5,NULL
6,2.0,circle
7,1.6,NULL
8,2.0,square
9,1.5,NULL
10,2.0,circle
11,1.8,NULL
12,2.0,triangle
13,1.9,NULL
14,2.0,circle
15,1.8,NULL
16,2.0,line
17,1.7,NULL
18,2.0,square
19,1.5,NULL
20,2.0,triangle
21,2.0,NULL
22,2.0,triangle
23,1.8,NULL
24,2.0,square
25,1.2,NULL
26,2.0,line
27,1.1,NULL
28,2.0,line
29,1.9,NULL
30,2.0,circle
31,2.0,NULL
32,2.0,square
33,1.9,NULL
34,2.0,triangle
35,1.4,NULL
36,2.0,circle
37,1.4,NULL
38,2.0,line
39,1.8,NULL
