,duration,stim_type
0,2.0,triangle
1,1.0,NULL
2,2.0,line
3,1.8,NULL
4,2.0,square
5,1.9,NULL
6,2.0,line
7,1.9,NULL
8,2.0,line
9,1.2,NULL
10,2.0,circle
11,1.2,NULL
12,2.0,circle
13,1.6,NULL
14,2.0,square
15,1.2,NULL
16,2.0,circle
17,1.8,NULL
18,2.0,square
19,1.2,NULL
20,2.0,circle
21,1.3,NULL
22,2.0,line
23,2.0,NULL
24,2.0,circle
25,1.2,NULL
26,2.0,triangle
27,1.5,NULL
28,2.0,square
29,1.5,NULL
30,2.0,line
31,1.6,NULL
32,2.0,triangle
33,1.3,NULL
34,2.0,triangle
35,1.5,NULL
36,2.0,triangle
37,1.1,NULL
38,2.0,square
39,1.7,NULL
