,duration,stim_type
0,2.0,triangle
1,1.4,NULL
2,2.0,circle
3,1.3,NULL
4,2.0,line
5,1.1,NULL
6,2.0,triangle
7,1.8,NULL
8,2.0,circle
9,2.0,NULL
10,2.0,circle
11,1.1,NULL
12,2.0,line
13,1.5,NULL
14,2.0,square
15,1.9,NULL
16,2.0,square
17,1.4,NULL
18,2.0,square
19,1.3,NULL
20,2.0,circle
21,1.4,NULL
22,2.0,line
23,1.6,NULL
24,2.0,square
25,1.3,NULL
26,2.0,square
27,1.6,NULL
28,2.0,triangle
29,1.6,NULL
30,2.0,circle
31,1.8,NULL
32,2.0,triangle
33,1.4,NULL
34,2.0,line
35,1.0,NULL
36,2.0,line
37,1.6,NULL
38,2.0,triangle
39,1.4,NULL
