,duration,stim_type
0,2.0,triangle
1,1.4,NULL
2,2.0,square
3,1.9,NULL
4,2.0,square
5,1.7,NULL
6,2.0,line
7,1.2,NULL
8,2.0,circle
9,2.0,NULL
10,2.0,triangle
11,1.3,NULL
12,2.0,line
13,1.5,NULL
14,2.0,line
15,1.1,NULL
16,2.0,triangle
17,1.3,NULL
18,2.0,circle
19,1.5,NULL
20,2.0,square
21,1.9,NULL
22,2.0,line
23,1.7,NULL
24,2.0,square
25,1.8,NULL
26,2.0,circle
27,1.4,NULL
28,2.0,line
29,2.0,NULL
30,2.0,circle
31,2.0,NULL
32,2.0,circle
33,1.1,NULL
34,2.0,triangle
35,1.4,NULL
36,2.0,square
37,1.9,NULL
38,2.0,triangle
39,1.1,NULL
