,duration,stim_type
0,2.0,line
1,1.4,NULL
2,2.0,line
3,1.0,NULL
4,2.0,circle
5,1.7,NULL
6,2.0,circle
7,1.9,NULL
8,2.0,circle
9,1.5,NULL
10,2.0,circle
11,1.6,NULL
12,2.0,square
13,1.3,NULL
14,2.0,triangle
15,1.7,NULL
16,2.0,line
17,1.6,NULL
18,2.0,line
19,1.2,NULL
20,2.0,line
21,1.2,NULL
22,2.0,circle
23,1.5,NULL
24,2.0,square
25,1.2,NULL
26,2.0,triangle
27,1.8,NULL
28,2.0,triangle
29,1.9,NULL
30,2.0,square
31,1.3,NULL
32,2.0,triangle
33,1.6,NULL
34,2.0,square
35,1.1,NULL
36,2.0,square
37,1.9,NULL
38,2.0,triangle
39,1.4,NULL
