,duration,stim_type
0,2.0,triangle
1,1.9,NULL
2,2.0,circle
3,1.6,NULL
4,2.0,circle
5,1.8,NULL
6,2.0,line
7,2.0,NULL
8,2.0,line
9,1.1,NULL
10,2.0,triangle
11,1.4,NULL
12,2.0,circle
13,1.4,NULL
14,2.0,square
15,1.8,NULL
16,2.0,line
17,1.5,NULL
18,2.0,line
19,1.1,NULL
20,2.0,square
21,1.5,NULL
22,2.0,square
23,1.4,NULL
24,2.0,square
25,1.1,NULL
26,2.0,triangle
27,1.9,NULL
28,2.0,triangle
29,2.0,NULL
30,2.0,line
31,1.0,NULL
32,2.0,circle
33,1.4,NULL
34,2.0,square
35,1.1,NULL
36,2.0,triangle
37,1.3,NULL
38,2.0,circle
39,1.3,NULL
