,duration,stim_type
0,2.0,square
1,1.9,NULL
2,2.0,circle
3,1.3,NULL
4,2.0,circle
5,1.0,NULL
6,2.0,line
7,1.9,NULL
8,2.0,circle
9,1.6,NULL
10,2.0,circle
11,1.6,NULL
12,2.0,circle
13,1.3,NULL
14,2.0,triangle
15,1.3,NULL
16,2.0,line
17,1.4,NULL
18,2.0,square
19,1.5,NULL
20,2.0,line
21,1.4,NULL
22,2.0,triangle
23,2.0,NULL
24,2.0,triangle
25,2.0,NULL
26,2.0,square
27,1.7,NULL
28,2.0,square
29,1.1,NULL
30,2.0,triangle
31,1.6,NULL
32,2.0,triangle
33,1.3,NULL
34,2.0,square
35,2.0,NULL
36,2.0,line
37,1.4,NULL
38,2.0,line
39,1.6,NULL
