,duration,stim_type
0,2.0,triangle
1,1.5,NULL
2,2.0,circle
3,1.2,NULL
4,2.0,triangle
5,1.5,NULL
6,2.0,square
7,1.6,NULL
8,2.0,triangle
9,1.2,NULL
10,2.0,triangle
11,1.5,NULL
12,2.0,triangle
13,1.5,NULL
14,2.0,line
15,2.0,NULL
16,2.0,square
17,1.1,NULL
18,2.0,circle
19,1.4,NULL
20,2.0,square
21,1.1,NULL
22,2.0,line
23,1.4,NULL
24,2.0,line
25,1.6,NULL
26,2.0,line
27,1.4,NULL
28,2.0,square
29,1.4,NULL
30,2.0,circle
31,1.3,NULL
32,2.0,circle
33,1.6,NULL
34,2.0,square
35,1.2,NULL
36,2.0,line
37,1.9,NULL
38,2.0,circle
39,1.2,NULL
