,duration,stim_type
0,2.0,line
1,1.5,NULL
2,2.0,square
3,1.6,NULL
4,2.0,line
5,1.9,NULL
6,2.0,square
7,1.4,NULL
8,2.0,circle
9,1.4,NULL
10,2.0,square
11,1.9,NULL
12,2.0,square
13,1.4,NULL
14,2.0,line
15,1.1,NULL
16,2.0,triangle
17,1.6,NULL
18,2.0,circle
19,1.5,NULL
20,2.0,triangle
21,1.2,NULL
22,2.0,triangle
23,1.9,NULL
24,2.0,line
25,1.0,NULL
26,2.0,square
27,1.7,NULL
28,2.0,triangle
29,1.6,NULL
30,2.0,circle
31,1.7,NULL
32,2.0,line
33,1.1,NULL
34,2.0,triangle
35,1.8,NULL
36,2.0,circle
37,1.2,NULL
38,2.0,circle
39,1.4,NULL
