,duration,stim_type
0,2.0,triangle
1,1.7,NULL
2,2.0,line
3,1.6,NULL
4,2.0,square
5,1.3,NULL
6,2.0,circle
7,1.3,NULL
8,2.0,circle
9,1.7,NULL
10,2.0,line
11,1.4,NULL
12,2.0,triangle
13,1.1,NULL
14,2.0,circle
15,1.1,NULL
16,2.0,line
17,1.9,NULL
18,2.0,square
19,1.3,NULL
20,2.0,square
21,1.2,NULL
22,2.0,triangle
23,1.5,NULL
24,2.0,line
25,1.9,NULL
26,2.0,circle
27,1.5,NULL
28,2.0,triangle
29,1.9,NULL
30,2.0,square
31,1.1,NULL
32,2.0,triangle
33,1.3,NULL
34,2.0,circle
35,1.7,NULL
36,2.0,line
37,1.1,NULL
38,2.0,square
39,1.9,NULL
