,duration,stim_type
0,2.0,circle
1,1.5,NULL
2,2.0,circle
3,1.4,NULL
4,2.0,triangle
5,1.2,NULL
6,2.0,triangle
7,1.9,NULL
8,2.0,triangle
9,1.2,NULL
10,2.0,square
11,2.0,NULL
12,2.0,line
13,1.9,NULL
14,2.0,line
15,1.3,NULL
16,2.0,triangle
17,1.0,NULL
18,2.0,line
19,1.8,NULL
20,2.0,circle
21,1.8,NULL
22,2.0,square
23,1.2,NULL
24,2.0,circle
25,1.8,NULL
26,2.0,square
27,1.2,NULL
28,2.0,line
29,1.6,NULL
30,2.0,square
31,1.6,NULL
32,2.0,circle
33,1.9,NULL
34,2.0,line
35,1.4,NULL
36,2.0,square
37,1.7,NULL
38,2.0,triangle
39,1.7,NULL
