,duration,stim_type
0,2.0,line
1,1.9,NULL
2,2.0,line
3,1.1,NULL
4,2.0,square
5,1.2,NULL
6,2.0,triangle
7,1.8,NULL
8,2.0,triangle
9,1.6,NULL
10,2.0,triangle
11,1.1,NULL
12,2.0,line
13,1.2,NULL
14,2.0,circle
15,1.0,NULL
16,2.0,circle
17,1.1,NULL
18,2.0,square
19,1.7,NULL
20,2.0,square
21,1.1,NULL
22,2.0,line
23,1.9,NULL
24,2.0,square
25,2.0,NULL
26,2.0,circle
27,1.2,NULL
28,2.0,triangle
29,1.3,NULL
30,2.0,square
31,1.3,NULL
32,2.0,circle
33,1.7,NULL
34,2.0,line
35,1.0,NULL
36,2.0,circle
37,1.3,NULL
38,2.0,triangle
39,1.7,NULL
