,duration,stim_type
0,2.0,line
1,1.8,NULL
2,2.0,triangle
3,1.9,NULL
4,2.0,line
5,1.1,NULL
6,2.0,square
7,1.4,NULL
8,2.0,triangle
9,1.4,NULL
10,2.0,square
11,1.2,NULL
12,2.0,circle
13,1.7,NULL
14,2.0,circle
15,1.5,NULL
16,2.0,line
17,1.5,NULL
18,2.0,circle
19,1.7,NULL
20,2.0,circle
21,1.5,NULL
22,2.0,circle
23,1.6,NULL
24,2.0,triangle
25,1.1,NULL
26,2.0,line
27,1.7,NULL
28,2.0,line
29,1.4,NULL
30,2.0,square
31,2.0,NULL
32,2.0,square
33,1.0,NULL
34,2.0,square
35,1.6,NULL
36,2.0,triangle
37,1.3,NULL
38,2.0,triangle
39,1.0,NULL
