,duration,stim_type
0,2.0,square
1,1.9,NULL
2,2.0,triangle
3,1.3,NULL
4,2.0,square
5,2.0,NULL
6,2.0,circle
7,1.9,NULL
8,2.0,line
9,1.1,NULL
10,2.0,triangle
11,1.8,NULL
12,2.0,circle
13,1.2,NULL
14,2.0,square
15,1.7,NULL
16,2.0,triangle
17,1.6,NULL
18,2.0,circle
19,1.5,NULL
20,2.0,circle
21,1.2,NULL
22,2.0,line
23,1.0,NULL
24,2.0,square
25,1.1,NULL
26,2.0,triangle
27,1.2,NULL
28,2.0,line
29,1.2,NULL
30,2.0,line
31,1.3,NULL
32,2.0,triangle
33,1.6,NULL
34,2.0,square
35,1.1,NULL
36,2.0,line
37,1.3,NULL
38,2.0,circle
39,1.3,NULL
