,duration,stim_type
0,2.0,square
1,1.9,NULL
2,2.0,line
3,1.8,NULL
4,2.0,line
5,1.6,NULL
6,2.0,circle
7,1.2,NULL
8,2.0,square
9,1.2,NULL
10,2.0,line
11,1.8,NULL
12,2.0,square
13,1.2,NULL
14,2.0,line
15,1.6,NULL
16,2.0,triangle
17,1.1,NULL
18,2.0,circle
19,1.9,NULL
20,2.0,line
21,1.6,NULL
22,2.0,circle
23,1.7,NULL
24,2.0,circle
25,1.7,NULL
26,2.0,square
27,1.6,NULL
28,2.0,circle
29,1.3,NULL
30,2.0,triangle
31,1.1,NULL
32,2.0,triangle
33,1.2,NULL
34,2.0,triangle
35,1.9,NULL
36,2.0,square
37,1.7,NULL
38,2.0,triangle
39,1.8,NULL
