,duration,stim_type
0,2.0,line
1,1.5,NULL
2,2.0,triangle
3,1.2,NULL
4,2.0,square
5,2.0,NULL
6,2.0,circle
7,1.2,NULL
8,2.0,circle
9,1.7,NULL
10,2.0,triangle
11,1.0,NULL
12,2.0,square
13,1.7,NULL
14,2.0,square
15,1.1,NULL
16,2.0,triangle
17,1.4,NULL
18,2.0,circle
19,1.6,NULL
20,2.0,line
21,1.6,NULL
22,2.0,circle
23,1.2,NULL
24,2.0,circle
25,1.5,NULL
26,2.0,triangle
27,1.4,NULL
28,2.0,triangle
29,1.0,NULL
30,2.0,square
31,1.7,NULL
32,2.0,line
33,1.0,NULL
34,2.0,line
35,1.3,NULL
36,2.0,square
37,1.3,NULL
38,2.0,line
39,1.0,NULL
