,duration,stim_type
0,2.0,circle
1,1.9,NULL
2,2.0,circle
3,1.3,NULL
4,2.0,circle
5,1.2,NULL
6,2.0,triangle
7,1.4,NULL
8,2.0,line
9,1.2,NULL
10,2.0,square
11,1.6,NULL
12,2.0,triangle
13,1.8,NULL
14,2.0,line
15,1.2,NULL
16,2.0,square
17,1.6,NULL
18,2.0,line
19,1.2,NULL
20,2.0,circle
21,1.4,NULL
22,2.0,line
23,1.8,NULL
24,2.0,square
25,1.1,NULL
26,2.0,square
27,1.3,NULL
28,2.0,triangle
29,1.3,NULL
30,2.0,circle
31,1.1,NULL
32,2.0,line
33,1.3,NULL
34,2.0,triangle
35,1.8,NULL
36,2.0,triangle
37,1.2,NULL
38,2.0,square
39,1.3,NULL
