,duration,stim_type
0,2.0,circle
1,1.0,NULL
2,2.0,square
3,1.0,NULL
4,2.0,triangle
5,1.1,NULL
6,2.0,circle
7,1.3,NULL
8,2.0,circle
9,1.5,NULL
10,2.0,line
11,1.8,NULL
12,2.0,triangle
13,1.5,NULL
14,2.0,square
15,1.7,NULL
16,2.0,square
17,1.0,NULL
18,2.0,triangle
19,1.4,NULL
20,2.0,square
21,1.5,NULL
22,2.0,triangle
23,1.5,NULL
24,2.0,circle
25,1.8,NULL
26,2.0,line
27,1.2,NULL
28,2.0,line
29,1.1,NULL
30,2.0,square
31,1.5,NULL
32,2.0,line
33,1.4,NULL
34,2.0,line
35,1.8,NULL
36,2.0,circle
37,1.7,NULL
38,2.0,triangle
39,1.4,NULL
