,duration,stim_type
0,2.0,square
1,1.3,NULL
2,2.0,circle
3,1.5,NULL
4,2.0,triangle
5,1.3,NULL
6,2.0,line
7,1.0,NULL
8,2.0,square
9,1.1,NULL
10,2.0,circle
11,1.4,NULL
12,2.0,circle
13,1.8,NULL
14,2.0,triangle
15,1.5,NULL
16,2.0,circle
17,1.8,NULL
18,2.0,line
19,1.8,NULL
20,2.0,triangle
21,1.7,NULL
22,2.0,square
23,1.5,NULL
24,2.0,square
25,1.4,NULL
26,2.0,line
27,1.0,NULL
28,2.0,square
29,1.5,NULL
30,2.0,triangle
31,1.2,NULL
32,2.0,triangle
33,1.2,NULL
34,2.0,circle
35,1.7,NULL
36,2.0,line
37,1.4,NULL
38,2.0,line
39,1.9,NULL
