,duration,stim_type
0,2.0,square
1,1.1,NULL
2,2.0,line
3,1.4,NULL
4,2.0,square
5,1.0,NULL
6,2.0,triangle
7,1.1,NULL
8,2.0,line
9,1.1,NULL
10,2.0,square
11,1.6,NULL
12,2.0,circle
13,1.4,NULL
14,2.0,triangle
15,1.6,NULL
16,2.0,square
17,2.0,NULL
18,2.0,line
19,1.5,NULL
20,2.0,triangle
21,1.3,NULL
22,2.0,circle
23,1.6,NULL
24,2.0,circle
25,1.1,NULL
26,2.0,triangle
27,1.0,NULL
28,2.0,triangle
29,1.8,NULL
30,2.0,square
31,1.8,NULL
32,2.0,line
33,1.5,NULL
34,2.0,circle
35,1.6,NULL
36,2.0,circle
37,1.2,NULL
38,2.0,line
39,1.7,NULL
