,duration,stim_type
0,2.0,square
1,1.9,NULL
2,2.0,line
3,1.4,NULL
4,2.0,triangle
5,1.6,NULL
6,2.0,square
7,1.4,NULL
8,2.0,triangle
9,1.7,NULL
10,2.0,line
11,1.1,NULL
12,2.0,circle
13,1.9,NULL
14,2.0,square
15,1.1,NULL
16,2.0,circle
17,1.9,NULL
18,2.0,line
19,1.7,NULL
20,2.0,square
21,1.3,NULL
22,2.0,square
23,1.5,NULL
24,2.0,circle
25,1.7,NULL
26,2.0,line
27,1.6,NULL
28,2.0,circle
29,1.6,NULL
30,2.0,line
31,1.4,NULL
32,2.0,triangle
33,1.6,NULL
34,2.0,triangle
35,1.4,NULL
36,2.0,circle
37,1.7,NULL
38,2.0,triangle
39,1.9,NULL
