,duration,stim_type
0,2.0,triangle
1,1.6,NULL
2,2.0,line
3,1.5,NULL
4,2.0,square
5,1.4,NULL
6,2.0,triangle
7,1.9,NULL
8,2.0,circle
9,1.9,NULL
10,2.0,triangle
11,1.8,NULL
12,2.0,square
13,2.0,NULL
14,2.0,circle
15,1.5,NULL
16,2.0,line
17,1.3,NULL
18,2.0,line
19,1.7,NULL
20,2.0,square
21,1.1,NULL
22,2.0,line
23,2.0,NULL
24,2.0,square
25,1.6,NULL
26,2.0,line
27,1.0,NULL
28,2.0,circle
29,1.8,NULL
30,2.0,circle
31,1.1,NULL
32,2.0,circle
33,1.6,NULL
34,2.0,triangle
35,1.8,NULL
36,2.0,triangle
37,2.0,NULL
38,2.0,square
39,1.3,NULL
