,duration,stim_type
0,2.0,square
1,1.8,NULL
2,2.0,line
3,1.3,NULL
4,2.0,triangle
5,1.3,NULL
6,2.0,line
7,1.6,NULL
8,2.0,circle
9,1.5,NULL
10,2.0,square
11,1.5,NULL
12,2.0,line
13,1.4,NULL
14,2.0,square
15,1.9,NULL
16,2.0,triangle
17,1.3,NULL
18,2.0,triangle
19,1.6,NULL
20,2.0,line
21,1.9,NULL
22,2.0,triangle
23,2.0,NULL
24,2.0,line
25,1.1,NULL
26,2.0,circle
27,1.6,NULL
28,2.0,circle
29,1.6,NULL
30,2.0,triangle
31,1.3,NULL
32,2.0,circle
33,1.5,NULL
34,2.0,square
35,1.0,NULL
36,2.0,circle
37,1.5,NULL
38,2.0,square
39,1.6,NULL
