,duration,stim_type
0,2.0,circle
1,1.8,NULL
2,2.0,line
3,1.3,NULL
4,2.0,line
5,1.3,NULL
6,2.0,triangle
7,1.5,NULL
8,2.0,circle
9,1.7,NULL
10,2.0,square
11,1.9,NULL
12,2.0,circle
13,1.5,NULL
14,2.0,line
15,1.9,NULL
16,2.0,square
17,1.8,NULL
18,2.0,triangle
19,1.8,NULL
20,2.0,line
21,1.9,NULL
22,2.0,triangle
23,1.8,NULL
24,2.0,square
25,1.2,NULL
26,2.0,square
27,1.5,NULL
28,2.0,line
29,1.0,NULL
30,2.0,triangle
31,1.5,NULL
32,2.0,circle
33,1.0,NULL
34,2.0,triangle
35,2.0,NULL
36,2.0,circle
37,1.5,NULL
38,2.0,square
39,1.8,NULL
