,duration,stim_type
0,2.0,circle
1,1.2,NULL
2,2.0,square
3,1.6,NULL
4,2.0,square
5,1.8,NULL
6,2.0,square
7,1.2,NULL
8,2.0,triangle
9,1.7,NULL
10,2.0,line
11,1.3,NULL
12,2.0,triangle
13,1.4,NULL
14,2.0,circle
15,1.8,NULL
16,2.0,line
17,1.2,NULL
18,2.0,line
19,1.3,NULL
20,2.0,square
21,1.3,NULL
22,2.0,square
23,1.3,NULL
24,2.0,triangle
25,1.4,NULL
26,2.0,line
27,1.8,NULL
28,2.0,circle
29,1.9,NULL
30,2.0,circle
31,1.4,NULL
32,2.0,circle
33,1.2,NULL
34,2.0,triangle
35,1.0,NULL
36,2.0,triangle
37,1.0,NULL
38,2.0,line
39,1.6,NULL
