,duration,stim_type
0,2.0,square
1,1.7,NULL
2,2.0,circle
3,1.6,NULL
4,2.0,square
5,1.4,NULL
6,2.0,triangle
7,1.8,NULL
8,2.0,triangle
9,1.7,NULL
10,2.0,circle
11,1.4,NULL
12,2.0,triangle
13,1.9,NULL
14,2.0,line
15,1.7,NULL
16,2.0,square
17,2.0,NULL
18,2.0,circle
19,1.3,NULL
20,2.0,line
21,1.6,NULL
22,2.0,triangle
23,1.2,NULL
24,2.0,triangle
25,2.0,NULL
26,2.0,circle
27,1.9,NULL
28,2.0,circle
29,1.7,NULL
30,2.0,square
31,1.2,NULL
32,2.0,square
33,1.0,NULL
34,2.0,line
35,1.4,NULL
36,2.0,line
37,1.7,NULL
38,2.0,line
39,2.0,NULL
