,duration,stim_type
0,2.0,square
1,1.5,NULL
2,2.0,line
3,1.1,NULL
4,2.0,triangle
5,1.3,NULL
6,2.0,circle
7,1.6,NULL
8,2.0,line
9,1.6,NULL
10,2.0,line
11,1.9,NULL
12,2.0,triangle
13,1.2,NULL
14,2.0,triangle
15,1.8,NULL
16,2.0,square
17,1.9,NULL
18,2.0,circle
19,1.7,NULL
20,2.0,circle
21,1.5,NULL
22,2.0,triangle
23,1.4,NULL
24,2.0,square
25,1.2,NULL
26,2.0,square
27,1.1,NULL
28,2.0,square
29,1.1,NULL
30,2.0,line
31,1.8,NULL
32,2.0,circle
33,1.6,NULL
34,2.0,triangle
35,2.0,NULL
36,2.0,line
37,1.9,NULL
38,2.0,circle
39,1.0,NULL
