,duration,stim_type
0,2.0,triangle
1,1.8,NULL
2,2.0,square
3,1.7,NULL
4,2.0,circle
5,1.8,NULL
6,2.0,triangle
7,1.7,NULL
8,2.0,line
9,1.7,NULL
10,2.0,square
11,1.3,NULL
12,2.0,circle
13,1.2,NULL
14,2.0,square
15,1.6,NULL
16,2.0,square
17,1.5,NULL
18,2.0,triangle
19,1.9,NULL
20,2.0,line
21,1.1,NULL
22,2.0,line
23,1.8,NULL
24,2.0,line
25,1.9,NULL
26,2.0,triangle
27,1.6,NULL
28,2.0,triangle
29,1.3,NULL
30,2.0,circle
31,1.7,NULL
32,2.0,circle
33,1.4,NULL
34,2.0,line
35,1.1,NULL
36,2.0,square
37,1.3,NULL
38,2.0,circle
39,1.4,NULL
